,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical,Is Fully Evolved
Articuno,144,580,90,85,100,85,125,95,Ice,Flying,Pressure,None,Snow Cloak,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Articuno(Galarian Articuno),144,580,90,85,85,95,100,125,Psychic,Flying,Competitive,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Zapdos,145,580,90,90,85,100,90,125,Electric,Flying,Pressure,None,Static,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Zapdos(Galarian Zapdos),145,580,90,125,90,100,90,85,Fighting,Flying,Defiant,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Moltres,146,580,90,100,90,90,85,125,Fire,Flying,Pressure,None,Flame Body,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Moltres(Galarian Moltres),146,580,90,85,90,90,125,100,Dark,Flying,Berserk,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Dratini,147,300,41,64,45,50,50,50,Dragon,None,Shed Skin,None,Marvel Scale,1,Dragon,Water 1,FALSE,FALSE,FALSE,FALSE
Dragonair,148,420,61,84,65,70,70,70,Dragon,None,Shed Skin,None,Marvel Scale,1,Dragon,Water 1,FALSE,FALSE,FALSE,FALSE
Dragonite,149,600,91,134,95,80,100,100,Dragon,Flying,Inner Focus,None,Multiscale,1,Dragon,Water 1,FALSE,FALSE,FALSE,TRUE
Mewtwo,150,680,106,110,90,130,90,154,Psychic,None,Pressure,None,Unnerve,1,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Mew,151,600,100,100,100,100,100,100,Psychic,None,Synchronize,None,None,1,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Chikorita,152,318,45,49,65,45,65,49,Grass,None,Overgrow,None,Leaf Guard,2,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Bayleef,153,405,60,62,80,60,80,63,Grass,None,Overgrow,None,Leaf Guard,2,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Meganium,154,525,80,82,100,80,100,83,Grass,None,Overgrow,None,Leaf Guard,2,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Cyndaquil,155,309,39,52,43,65,50,60,Fire,None,Blaze,None,Flash Fire,2,Field,None,FALSE,FALSE,FALSE,FALSE
Quilava,156,405,58,64,58,80,65,80,Fire,None,Blaze,None,Flash Fire,2,Field,None,FALSE,FALSE,FALSE,FALSE
Typhlosion,157,534,78,84,78,100,85,109,Fire,None,Blaze,None,Flash Fire,2,Field,None,FALSE,FALSE,FALSE,TRUE
Typhlosion(Hisuian Typhlosion),157,534,73,84,78,95,85,119,Fire,Ghost,Blaze,None,Frisk,2,Field,None,FALSE,FALSE,FALSE,TRUE
Totodile,158,314,50,65,64,43,48,44,Water,None,Torrent,None,Sheer Force,2,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Croconaw,159,405,65,80,80,58,63,59,Water,None,Torrent,None,Sheer Force,2,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Feraligatr,160,530,85,105,100,78,83,79,Water,None,Torrent,None,Sheer Force,2,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Sentret,161,215,35,46,34,20,45,35,Normal,None,Run Away,Keen Eye,Frisk,2,Field,None,FALSE,FALSE,FALSE,FALSE
Furret,162,415,85,76,64,90,55,45,Normal,None,Run Away,Keen Eye,Frisk,2,Field,None,FALSE,FALSE,FALSE,TRUE
Hoothoot,163,262,60,30,30,50,56,36,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,Flying,None,FALSE,FALSE,FALSE,FALSE
Noctowl,164,452,100,50,50,70,96,86,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Ledyba,165,265,40,20,30,55,80,40,Bug,Flying,Swarm,Early Bird,Rattled,2,Bug,None,FALSE,FALSE,FALSE,FALSE
Ledian,166,390,55,35,50,85,110,55,Bug,Flying,Swarm,Early Bird,Iron Fist,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Spinarak,167,250,40,60,40,30,40,40,Bug,Poison,Swarm,Insomnia,Sniper,2,Bug,None,FALSE,FALSE,FALSE,FALSE
Ariados,168,400,70,90,70,40,70,60,Bug,Poison,Swarm,Insomnia,Sniper,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Crobat,169,535,85,90,80,130,80,70,Poison,Flying,Inner Focus,None,Infiltrator,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Chinchou,170,330,75,38,38,67,56,56,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,Water 2,None,FALSE,FALSE,FALSE,FALSE
Lanturn,171,460,125,58,58,67,76,76,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,Water 2,None,FALSE,FALSE,FALSE,TRUE
Pichu,172,205,20,40,15,60,35,35,Electric,None,Static,None,Lightning Rod,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Cleffa,173,218,50,25,28,15,55,45,Fairy,None,Cute Charm,Magic Guard,Friend Guard,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Igglybuff,174,210,90,30,15,15,20,40,Normal,Fairy,Cute Charm,Competitive,Friend Guard,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Togepi,175,245,35,20,65,20,65,40,Fairy,None,Hustle,Serene Grace,Super Luck,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Togetic,176,405,55,40,85,40,105,80,Fairy,Flying,Hustle,Serene Grace,Super Luck,2,Fairy,Flying,FALSE,FALSE,FALSE,FALSE
Natu,177,320,40,50,45,70,45,70,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,Flying,None,FALSE,FALSE,FALSE,FALSE
Xatu,178,470,65,75,70,95,70,95,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Mareep,179,280,55,40,40,35,45,65,Electric,None,Static,None,Plus,2,Field,Monster,FALSE,FALSE,FALSE,FALSE
Flaaffy,180,365,70,55,55,45,60,80,Electric,None,Static,None,Plus,2,Field,Monster,FALSE,FALSE,FALSE,FALSE
Ampharos,181,510,90,75,85,55,90,115,Electric,None,Static,None,Plus,2,Field,Monster,FALSE,FALSE,FALSE,TRUE
Bellossom,182,490,75,80,95,50,100,90,Grass,None,Chlorophyll,None,Healer,2,Grass,None,FALSE,FALSE,FALSE,TRUE
Marill,183,250,70,20,50,40,50,20,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,Fairy,Water 1,FALSE,FALSE,FALSE,FALSE
Azumarill,184,420,100,50,80,50,80,60,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,Fairy,Water 1,FALSE,FALSE,FALSE,TRUE
Sudowoodo,185,410,70,100,115,30,65,30,Rock,None,Sturdy,Rock Head,Rattled,2,Mineral,None,FALSE,FALSE,FALSE,TRUE
Politoed,186,500,90,75,75,70,100,90,Water,None,Water Absorb,Damp,Drizzle,2,Water 1,None,FALSE,FALSE,FALSE,TRUE
Hoppip,187,250,35,35,40,50,55,35,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Skiploom,188,340,55,45,50,80,65,45,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Jumpluff,189,460,75,55,70,110,95,55,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Aipom,190,360,55,70,55,85,55,40,Normal,None,Run Away,Pickup,Skill Link,2,Field,None,FALSE,FALSE,FALSE,FALSE
Sunkern,191,180,30,30,30,30,30,30,Grass,None,Chlorophyll,Solar Power,Early Bird,2,Grass,None,FALSE,FALSE,FALSE,FALSE
Sunflora,192,425,75,75,55,30,85,105,Grass,None,Chlorophyll,Solar Power,Early Bird,2,Grass,None,FALSE,FALSE,FALSE,TRUE
Yanma,193,390,65,65,45,95,45,75,Bug,Flying,Speed Boost,Compound Eyes,Frisk,2,Bug,None,FALSE,FALSE,FALSE,FALSE
Wooper,194,210,55,45,45,15,25,25,Water,Ground,Damp,Water Absorb,Unaware,2,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Wooper(Paldean Wooper),194,210,55,45,45,15,25,25,Poison,Ground,Poison Point,Water Absorb,Unaware,2,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Quagsire,195,430,95,85,85,35,65,65,Water,Ground,Damp,Water Absorb,Unaware,2,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Espeon,196,525,65,65,60,110,95,130,Psychic,None,Synchronize,None,Magic Bounce,2,Field,None,FALSE,FALSE,FALSE,TRUE
Umbreon,197,525,95,65,110,65,130,60,Dark,None,Synchronize,None,Inner Focus,2,Field,None,FALSE,FALSE,FALSE,TRUE
Murkrow,198,405,60,85,42,91,42,85,Dark,Flying,Insomnia,Super Luck,Prankster,2,Flying,None,FALSE,FALSE,FALSE,FALSE
Slowking,199,490,95,75,80,30,110,100,Water,Psychic,Oblivious,Own Tempo,Regenerator,2,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Slowking(Galarian Slowking),199,490,95,65,80,30,110,110,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,8,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Misdreavus,200,435,60,60,60,85,85,85,Ghost,None,Levitate,None,None,2,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Unown,201,336,48,72,48,48,48,72,Psychic,None,Levitate,None,None,2,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Wobbuffet,202,405,190,33,58,33,58,33,Psychic,None,Shadow Tag,None,Telepathy,2,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Girafarig,203,455,70,80,65,85,65,90,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,2,Field,None,FALSE,FALSE,FALSE,FALSE
Pineco,204,290,50,65,90,15,35,35,Bug,None,Sturdy,None,Overcoat,2,Bug,None,FALSE,FALSE,FALSE,FALSE
Forretress,205,465,75,90,140,40,60,60,Bug,Steel,Sturdy,None,Overcoat,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Dunsparce,206,415,100,70,70,45,65,65,Normal,None,Serene Grace,Run Away,Rattled,2,Field,None,FALSE,FALSE,FALSE,FALSE
Gligar,207,430,65,75,105,85,65,35,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,2,Bug,None,FALSE,FALSE,FALSE,FALSE
Steelix,208,510,75,85,200,30,65,55,Steel,Ground,Rock Head,Sturdy,Sheer Force,2,Mineral,None,FALSE,FALSE,FALSE,TRUE
Snubbull,209,300,60,80,50,30,40,40,Fairy,None,Intimidate,Run Away,Rattled,2,Fairy,Field,FALSE,FALSE,FALSE,FALSE
Granbull,210,450,90,120,75,45,60,60,Fairy,None,Intimidate,Quick Feet,Rattled,2,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Qwilfish(Hisuian Qwilfish),211,440,65,95,85,85,55,55,Dark,Poison,Poison Point,Swift Swim,Intimidate,2,Water 2,None,FALSE,FALSE,FALSE,FALSE
Qwilfish,211,440,65,95,85,85,55,55,Water,Poison,Poison Point,Swift Swim,Intimidate,2,Water 2,None,FALSE,FALSE,FALSE,TRUE
Scizor,212,500,70,130,100,65,80,55,Bug,Steel,Swarm,Technician,Light Metal,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Shuckle,213,505,20,10,230,5,230,10,Bug,Rock,Sturdy,Gluttony,Contrary,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Heracross,214,500,80,125,75,85,95,40,Bug,Fighting,Swarm,Guts,Moxie,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Sneasel,215,430,55,95,55,115,75,35,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,2,Field,None,FALSE,FALSE,FALSE,FALSE
Sneasel(Hisuian Sneasel),215,430,55,95,55,115,75,35,Fighting,Poison,Inner Focus,Keen Eye,Pickpocket,2,Field,None,FALSE,FALSE,FALSE,FALSE
Teddiursa,216,330,60,80,50,40,50,50,Normal,None,Pickup,Quick Feet,Honey Gather,2,Field,None,FALSE,FALSE,FALSE,FALSE
Ursaring,217,500,90,130,75,55,75,75,Normal,None,Guts,Quick Feet,Unnerve,2,Field,None,FALSE,FALSE,FALSE,FALSE
Slugma,218,250,40,40,40,20,40,70,Fire,None,Magma Armor,Flame Body,Weak Armor,2,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Magcargo,219,430,60,50,120,30,80,90,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Swinub,220,250,50,50,40,50,30,30,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,Field,None,FALSE,FALSE,FALSE,FALSE
Piloswine,221,450,100,100,80,50,60,60,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,Field,None,FALSE,FALSE,FALSE,FALSE
Corsola(Galarian Corsola),222,410,60,55,100,30,100,65,Ghost,None,Weak Armor,None,Cursed Body,8,Water 1,Water 3,FALSE,FALSE,FALSE,FALSE
Corsola,222,410,65,55,95,35,95,65,Water,Rock,Hustle,Natural Cure,Regenerator,2,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Remoraid,223,300,35,65,35,65,35,65,Water,None,Hustle,Sniper,Moody,2,Water 1,Water 2,FALSE,FALSE,FALSE,FALSE
Octillery,224,480,75,105,75,45,75,105,Water,None,Suction Cups,Sniper,Moody,2,Water 1,Water 2,FALSE,FALSE,FALSE,TRUE
Delibird,225,330,45,55,45,75,45,65,Ice,Flying,Vital Spirit,Hustle,Insomnia,2,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Mantine,226,485,85,40,70,70,140,80,Water,Flying,Swift Swim,Water Absorb,Water Veil,2,Water 1,None,FALSE,FALSE,FALSE,TRUE
Skarmory,227,465,65,80,140,70,70,40,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Houndour,228,330,45,60,30,65,50,80,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,Field,None,FALSE,FALSE,FALSE,FALSE
Houndoom,229,500,75,90,50,95,80,110,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,Field,None,FALSE,FALSE,FALSE,TRUE
Kingdra,230,540,75,95,95,85,95,95,Water,Dragon,Swift Swim,Sniper,Damp,2,Dragon,Water 1,FALSE,FALSE,FALSE,TRUE
Phanpy,231,330,90,60,60,40,40,40,Ground,None,Pickup,None,Sand Veil,2,Field,None,FALSE,FALSE,FALSE,FALSE
Donphan,232,500,90,120,120,50,60,60,Ground,None,Sturdy,None,Sand Veil,2,Field,None,FALSE,FALSE,FALSE,TRUE
Porygon2,233,515,85,80,90,60,95,105,Normal,None,Trace,Download,Analytic,2,Mineral,None,FALSE,FALSE,FALSE,FALSE
Stantler,234,465,73,95,62,85,65,85,Normal,None,Intimidate,Frisk,Sap Sipper,2,Field,None,FALSE,FALSE,FALSE,FALSE
Smeargle,235,250,55,20,35,75,45,20,Normal,None,Own Tempo,Technician,Moody,2,Field,None,FALSE,FALSE,FALSE,TRUE
Tyrogue,236,210,35,35,35,35,35,35,Fighting,None,Guts,Steadfast,Vital Spirit,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Hitmontop,237,455,50,95,95,70,110,35,Fighting,None,Intimidate,Technician,Steadfast,2,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Smoochum,238,305,45,30,15,65,65,85,Ice,Psychic,Oblivious,Forewarn,Hydration,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Elekid,239,360,45,63,37,95,55,65,Electric,None,Static,None,Vital Spirit,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Magby,240,365,45,75,37,83,55,70,Fire,None,Flame Body,None,Vital Spirit,2,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Miltank,241,490,95,80,105,100,70,40,Normal,None,Thick Fat,Scrappy,Sap Sipper,2,Field,None,FALSE,FALSE,FALSE,TRUE
Blissey,242,540,255,10,10,55,135,75,Normal,None,Natural Cure,Serene Grace,Healer,2,Fairy,None,FALSE,FALSE,FALSE,TRUE
Raikou,243,580,90,85,75,115,100,115,Electric,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Entei,244,580,115,115,85,100,75,90,Fire,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Suicune,245,580,100,75,115,85,115,90,Water,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Larvitar,246,300,50,64,50,41,50,45,Rock,Ground,Guts,None,Sand Veil,2,Monster,None,FALSE,FALSE,FALSE,FALSE
Pupitar,247,410,70,84,70,51,70,65,Rock,Ground,Shed Skin,None,None,2,Monster,None,FALSE,FALSE,FALSE,FALSE
Tyranitar,248,600,100,134,110,61,100,95,Rock,Dark,Sand Stream,None,Unnerve,2,Monster,None,FALSE,FALSE,FALSE,TRUE
Lugia,249,680,106,90,130,110,154,90,Psychic,Flying,Pressure,None,Multiscale,2,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Ho-oh,250,680,106,130,90,90,154,110,Fire,Flying,Pressure,None,Regenerator,2,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Celebi,251,600,100,100,100,100,100,100,Psychic,Grass,Natural Cure,None,None,2,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Treecko,252,310,40,45,35,70,55,65,Grass,None,Overgrow,None,Unburden,3,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Grovyle,253,405,50,65,45,95,65,85,Grass,None,Overgrow,None,Unburden,3,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Sceptile,254,530,70,85,65,120,85,105,Grass,None,Overgrow,None,Unburden,3,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Torchic,255,310,45,60,40,45,50,70,Fire,None,Blaze,None,Speed Boost,3,Field,None,FALSE,FALSE,FALSE,FALSE
Combusken,256,405,60,85,60,55,60,85,Fire,Fighting,Blaze,None,Speed Boost,3,Field,None,FALSE,FALSE,FALSE,FALSE
Blaziken,257,530,80,120,70,80,70,110,Fire,Fighting,Blaze,None,Speed Boost,3,Field,None,FALSE,FALSE,FALSE,TRUE
Mudkip,258,310,50,70,50,40,50,50,Water,None,Torrent,None,Damp,3,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Marshtomp,259,405,70,85,70,50,70,60,Water,Ground,Torrent,None,Damp,3,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Swampert,260,535,100,110,90,60,90,85,Water,Ground,Torrent,None,Damp,3,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Poochyena,261,220,35,55,35,35,30,30,Dark,None,Run Away,Quick Feet,Rattled,3,Field,None,FALSE,FALSE,FALSE,FALSE
Mightyena,262,420,70,90,70,70,60,60,Dark,None,Intimidate,Quick Feet,Moxie,3,Field,None,FALSE,FALSE,FALSE,FALSE
Zigzagoon,263,240,38,30,41,60,41,30,Normal,None,Pickup,Gluttony,Quick Feet,3,Field,None,FALSE,FALSE,FALSE,FALSE
Zigzagoon(Galarian Zigzagoon),263,240,38,30,41,60,41,30,Dark,Normal,Pickup,Gluttony,Quick Feet,8,Field,None,FALSE,FALSE,FALSE,FALSE
Linoone(Galarian Linoone),264,420,78,70,61,100,61,50,Dark,Normal,Pickup,Gluttony,Quick Feet,8,Field,None,FALSE,FALSE,FALSE,FALSE
Linoone,264,420,78,70,61,100,61,50,Normal,None,Pickup,Gluttony,Quick Feet,3,Field,None,FALSE,FALSE,FALSE,TRUE
Wurmple,265,195,45,45,35,20,30,20,Bug,None,Shield Dust,None,Run Away,3,Bug,None,FALSE,FALSE,FALSE,FALSE
Silcoon,266,205,50,35,55,15,25,25,Bug,None,Shed Skin,None,None,3,Bug,None,FALSE,FALSE,FALSE,FALSE
Beautifly,267,395,60,70,50,65,50,100,Bug,Flying,Swarm,None,Rivalry,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Cascoon,268,205,50,35,55,15,25,25,Bug,None,Shed Skin,None,None,3,Bug,None,FALSE,FALSE,FALSE,FALSE
Dustox,269,385,60,50,70,65,90,50,Bug,Poison,Shield Dust,None,Compound Eyes,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Lotad,270,220,40,30,30,30,50,40,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,Grass,Water 1,FALSE,FALSE,FALSE,FALSE
Lombre,271,340,60,50,50,50,70,60,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,Grass,Water 1,FALSE,FALSE,FALSE,FALSE
Ludicolo,272,480,80,70,70,70,100,90,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,Grass,Water 1,FALSE,FALSE,FALSE,TRUE
Seedot,273,220,40,40,50,30,30,30,Grass,None,Chlorophyll,Early Bird,Pickpocket,3,Field,Grass,FALSE,FALSE,FALSE,FALSE
Nuzleaf,274,340,70,70,40,60,40,60,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,Field,Grass,FALSE,FALSE,FALSE,FALSE
Shiftry,275,480,90,100,60,80,60,90,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,Field,Grass,FALSE,FALSE,FALSE,TRUE
Taillow,276,270,40,55,30,85,30,30,Normal,Flying,Guts,None,Scrappy,3,Flying,None,FALSE,FALSE,FALSE,FALSE
Swellow,277,455,60,85,60,125,50,75,Normal,Flying,Guts,None,Scrappy,3,Flying,None,FALSE,FALSE,FALSE,TRUE
Wingull,278,270,40,30,30,85,30,55,Water,Flying,Keen Eye,Hydration,Rain Dish,3,Flying,Water 1,FALSE,FALSE,FALSE,FALSE
Pelipper,279,440,60,50,100,65,70,95,Water,Flying,Keen Eye,Drizzle,Rain Dish,3,Flying,Water 1,FALSE,FALSE,FALSE,TRUE
Ralts,280,198,28,25,25,40,35,45,Psychic,Fairy,Synchronize,Trace,Telepathy,3,Amorphous,Human-Like,FALSE,FALSE,FALSE,FALSE
Kirlia,281,278,38,35,35,50,55,65,Psychic,Fairy,Synchronize,Trace,Telepathy,3,Amorphous,Human-Like,FALSE,FALSE,FALSE,FALSE
Gardevoir,282,518,68,65,65,80,115,125,Psychic,Fairy,Synchronize,Trace,Telepathy,3,Amorphous,Human-Like,FALSE,FALSE,FALSE,TRUE
Surskit,283,269,40,30,32,65,52,50,Bug,Water,Swift Swim,None,Rain Dish,3,Bug,Water 1,FALSE,FALSE,FALSE,FALSE
Masquerain,284,454,70,60,62,80,82,100,Bug,Flying,Intimidate,None,Unnerve,3,Bug,Water 1,FALSE,FALSE,FALSE,TRUE
Shroomish,285,295,60,40,60,35,60,40,Grass,None,Effect Spore,Poison Heal,Quick Feet,3,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Breloom,286,460,60,130,80,70,60,60,Grass,Fighting,Effect Spore,Poison Heal,Technician,3,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Slakoth,287,280,60,60,60,30,35,35,Normal,None,Truant,None,None,3,Field,None,FALSE,FALSE,FALSE,FALSE
Vigoroth,288,440,80,80,80,90,55,55,Normal,None,Vital Spirit,None,None,3,Field,None,FALSE,FALSE,FALSE,FALSE
Slaking,289,670,150,160,100,100,65,95,Normal,None,Truant,None,None,3,Field,None,FALSE,FALSE,FALSE,TRUE
Nincada,290,266,31,45,90,40,30,30,Bug,Ground,Compound Eyes,None,Run Away,3,Bug,None,FALSE,FALSE,FALSE,FALSE
Ninjask,291,456,61,90,45,160,50,50,Bug,Flying,Speed Boost,None,Infiltrator,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Shedinja,292,236,1,90,45,40,30,30,Bug,Ghost,Wonder Guard,None,None,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Whismur,293,240,64,51,23,28,23,51,Normal,None,Soundproof,None,Rattled,3,Field,Monster,FALSE,FALSE,FALSE,FALSE
Loudred,294,360,84,71,43,48,43,71,Normal,None,Soundproof,None,Scrappy,3,Field,Monster,FALSE,FALSE,FALSE,FALSE
Exploud,295,490,104,91,63,68,73,91,Normal,None,Soundproof,None,Scrappy,3,Field,Monster,FALSE,FALSE,FALSE,TRUE
Makuhita,296,237,72,60,30,25,30,20,Fighting,None,Thick Fat,Guts,Sheer Force,3,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Hariyama,297,474,144,120,60,50,60,40,Fighting,None,Thick Fat,Guts,Sheer Force,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Azurill,298,190,50,20,40,20,40,20,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,3,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Nosepass,299,375,30,45,135,30,90,45,Rock,None,Sturdy,Magnet Pull,Sand Force,3,Mineral,None,FALSE,FALSE,FALSE,FALSE
Skitty,300,260,50,45,45,50,35,35,Normal,None,Cute Charm,Normalize,Wonder Skin,3,Fairy,Field,FALSE,FALSE,FALSE,FALSE
Delcatty,301,400,70,65,65,90,55,55,Normal,None,Cute Charm,Normalize,Wonder Skin,3,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Sableye,302,380,50,75,75,50,65,65,Dark,Ghost,Keen Eye,Stall,Prankster,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Mawile,303,380,50,85,85,50,55,55,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,3,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Aron,304,330,50,70,100,30,40,40,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,Monster,None,FALSE,FALSE,FALSE,FALSE
Lairon,305,430,60,90,140,40,50,50,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,Monster,None,FALSE,FALSE,FALSE,FALSE
Aggron,306,530,70,110,180,50,60,60,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,Monster,None,FALSE,FALSE,FALSE,TRUE
Meditite,307,280,30,40,55,60,55,40,Fighting,Psychic,Pure Power,None,Telepathy,3,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Medicham,308,410,60,60,75,80,75,60,Fighting,Psychic,Pure Power,None,Telepathy,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Electrike,309,295,40,45,40,65,40,65,Electric,None,Static,Lightning Rod,Minus,3,Field,None,FALSE,FALSE,FALSE,FALSE
Manectric,310,475,70,75,60,105,60,105,Electric,None,Static,Lightning Rod,Minus,3,Field,None,FALSE,FALSE,FALSE,TRUE
Plusle,311,405,60,50,40,95,75,85,Electric,None,Plus,None,Lightning Rod,3,Fairy,None,FALSE,FALSE,FALSE,TRUE
Minun,312,405,60,40,50,95,85,75,Electric,None,Minus,None,Volt Absorb,3,Fairy,None,FALSE,FALSE,FALSE,TRUE
Volbeat,313,430,65,73,75,85,85,47,Bug,None,Illuminate,Swarm,Prankster,3,Bug,Human-Like,FALSE,FALSE,FALSE,TRUE
Illumise,314,430,65,47,75,85,85,73,Bug,None,Oblivious,Tinted Lens,Prankster,3,Bug,Human-Like,FALSE,FALSE,FALSE,TRUE
Roselia,315,400,50,60,45,65,80,100,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,3,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Gulpin,316,302,70,43,53,40,53,43,Poison,None,Liquid Ooze,Sticky Hold,Gluttony,3,Amorphous,None,FALSE,FALSE,FALSE,FALSE
